,ResponseId,Condition,influencer_video,susceptfriend_score,vapenext6months_score,vapecurios_score,suscept_total,Sex,Ethnicity,Age,white,asian,black,multi,other,infl_expos,suscept_pretest,video_id,influencer,credibility_median,video_number,credibility_median_rescale,sm_freq_use,sub_30dayuse,cigcan_30dayuse,credibility_median_binary
91,R_1CHPS1Lo9JO8Z2X,Young Control,vapefriend_aby,2,2,3,1,Male,No,17,1,0,0,0,0,1,1,video1_cred_aby,cred_aby,60,1,1.611130613,1,1,1,1
92,R_1CHPS1Lo9JO8Z2X,Young Control,vapefriend_anna,2,3,2,1,Male,No,17,1,0,0,0,0,1,1,video2_cred_anna,cred_anna,66,2,1.870117632,1,1,1,1
93,R_1CHPS1Lo9JO8Z2X,Young Control,vapefriend_cham,2,2,2,1,Male,No,17,1,0,0,0,0,1,1,video3_cred_cham,cred_cham,68,3,1.956446638,1,1,1,1
94,R_1CHPS1Lo9JO8Z2X,Young Control,vapefriend_fab,2,2,3,1,Male,No,17,1,0,0,0,0,1,1,video4_cred_fab,cred_fab,62,4,1.697459619,1,1,1,1
95,R_1CHPS1Lo9JO8Z2X,Young Control,vapefriend_mae,2,2,2,1,Male,No,17,1,0,0,0,0,1,1,video5_cred_mae,cred_mae,52,5,1.265814588,1,1,1,1
96,R_1CHPS1Lo9JO8Z2X,Young Control,vapefriend_zanx,2,3,2,1,Male,No,17,1,0,0,0,0,1,1,video6_cred_zanx,cred_zanx,57,6,1.481637104,1,1,1,1
97,R_1CpoNhghLxcThuN,Young Treat,vapefriend_aby,4,4,4,0,Male,No,15,0,0,1,0,0,0,0,video1_cred_aby,cred_aby,21,1,-0.072285009,1,0,0,1
98,R_1CpoNhghLxcThuN,Young Treat,vapefriend_anna,4,4,4,0,Male,No,15,0,0,1,0,0,0,0,video2_cred_anna,cred_anna,1,2,-0.935575072,1,0,0,0
99,R_1CpoNhghLxcThuN,Young Treat,vapefriend_cham,4,4,4,0,Male,No,15,0,0,1,0,0,0,0,video3_cred_cham,cred_cham,4,3,-0.806081563,1,0,0,0
100,R_1CpoNhghLxcThuN,Young Treat,vapefriend_fab,4,4,4,0,Male,No,15,0,0,1,0,0,0,0,video4_cred_fab,cred_fab,7,4,-0.676588053,1,0,0,0
101,R_1CpoNhghLxcThuN,Young Treat,vapefriend_mae,4,4,4,0,Male,No,15,0,0,1,0,0,0,0,video5_cred_mae,cred_mae,5,5,-0.76291706,1,0,0,0
102,R_1CpoNhghLxcThuN,Young Treat,vapefriend_zanx,4,4,4,0,Male,No,15,0,0,1,0,0,0,0,video6_cred_zanx,cred_zanx,28,6,0.229866513,1,0,0,1
103,R_1CwJGgpNre61qdf,Old Control,vapefriend_aby,3,3,3,1,Female,No,16,1,1,0,0,0,1,1,video1_cred_aby,cred_aby,39,1,0.704676047,1,0,0,1
104,R_1CwJGgpNre61qdf,Old Control,vapefriend_anna,3,3,3,1,Female,No,16,1,1,0,0,0,1,1,video2_cred_anna,cred_anna,54,2,1.352143594,1,0,0,1
105,R_1CwJGgpNre61qdf,Old Control,vapefriend_cham,3,3,3,1,Female,No,16,1,1,0,0,0,1,1,video3_cred_cham,cred_cham,44,3,0.920498563,1,0,0,1
106,R_1CwJGgpNre61qdf,Old Control,vapefriend_fab,3,3,3,1,Female,No,16,1,1,0,0,0,1,1,video4_cred_fab,cred_fab,44,4,0.920498563,1,0,0,1
107,R_1CwJGgpNre61qdf,Old Control,vapefriend_mae,3,3,3,1,Female,No,16,1,1,0,0,0,1,1,video5_cred_mae,cred_mae,56,5,1.4384726,1,0,0,1
108,R_1CwJGgpNre61qdf,Old Control,vapefriend_zanx,3,3,3,1,Female,No,16,1,1,0,0,0,1,1,video6_cred_zanx,cred_zanx,24,6,0.0572085,1,0,0,1
109,R_1DTWfLvIHSzCU6Z,Young Control,vapefriend_aby,4,4,4,0,Female,Yes,17,0,0,0,0,1,0,1,video1_cred_aby,cred_aby,21,1,-0.072285009,1,1,1,1
110,R_1DTWfLvIHSzCU6Z,Young Control,vapefriend_anna,4,4,4,0,Female,Yes,17,0,0,0,0,1,0,1,video2_cred_anna,cred_anna,27,2,0.186702009,1,1,1,1
111,R_1DTWfLvIHSzCU6Z,Young Control,vapefriend_cham,4,4,4,0,Female,Yes,17,0,0,0,0,1,0,1,video3_cred_cham,cred_cham,10,3,-0.547094544,1,1,1,0
112,R_1DTWfLvIHSzCU6Z,Young Control,vapefriend_fab,4,4,4,0,Female,Yes,17,0,0,0,0,1,0,1,video4_cred_fab,cred_fab,7,4,-0.676588053,1,1,1,0
113,R_1DTWfLvIHSzCU6Z,Young Control,vapefriend_mae,4,4,4,0,Female,Yes,17,0,0,0,0,1,0,1,video5_cred_mae,cred_mae,16,5,-0.288107525,1,1,1,1
114,R_1DTWfLvIHSzCU6Z,Young Control,vapefriend_zanx,4,4,4,0,Female,Yes,17,0,0,0,0,1,0,1,video6_cred_zanx,cred_zanx,8,6,-0.63342355,1,1,1,0
115,R_1ER66QJnIj9Lyrj,Young Control,vapefriend_aby,4,4,4,0,Female,No,17,0,0,1,0,0,1,0,video1_cred_aby,cred_aby,NA,1,NA,1,0,0,NA
116,R_1ER66QJnIj9Lyrj,Young Control,vapefriend_anna,4,4,4,0,Female,No,17,0,0,1,0,0,1,0,video2_cred_anna,cred_anna,NA,2,NA,1,0,0,NA
117,R_1ER66QJnIj9Lyrj,Young Control,vapefriend_cham,4,4,1,1,Female,No,17,0,0,1,0,0,1,0,video3_cred_cham,cred_cham,43,3,0.87733406,1,0,0,1
118,R_1ER66QJnIj9Lyrj,Young Control,vapefriend_fab,4,4,4,0,Female,No,17,0,0,1,0,0,1,0,video4_cred_fab,cred_fab,NA,4,NA,1,0,0,NA
119,R_1ER66QJnIj9Lyrj,Young Control,vapefriend_mae,4,4,4,0,Female,No,17,0,0,1,0,0,1,0,video5_cred_mae,cred_mae,34,5,0.488853531,1,0,0,1
120,R_1ER66QJnIj9Lyrj,Young Control,vapefriend_zanx,4,4,4,0,Female,No,17,0,0,1,0,0,1,0,video6_cred_zanx,cred_zanx,100,6,3.337710738,1,0,0,1
121,R_1FIiCpmp2oCnAT4,Old Control,vapefriend_aby,2,3,2,1,Male,No,17,1,0,0,0,0,0,1,video1_cred_aby,cred_aby,47,1,1.049992072,3,1,1,1
122,R_1FIiCpmp2oCnAT4,Old Control,vapefriend_anna,3,3,2,1,Male,No,17,1,0,0,0,0,0,1,video2_cred_anna,cred_anna,32,2,0.402524525,3,1,1,1
123,R_1FIiCpmp2oCnAT4,Old Control,vapefriend_cham,3,2,2,1,Male,No,17,1,0,0,0,0,0,1,video3_cred_cham,cred_cham,66,3,1.870117632,3,1,1,1
124,R_1FIiCpmp2oCnAT4,Old Control,vapefriend_fab,2,2,3,1,Male,No,17,1,0,0,0,0,0,1,video4_cred_fab,cred_fab,61,4,1.654295116,3,1,1,1
125,R_1FIiCpmp2oCnAT4,Old Control,vapefriend_mae,1,3,2,1,Male,No,17,1,0,0,0,0,0,1,video5_cred_mae,cred_mae,65,5,1.826953129,3,1,1,1
126,R_1FIiCpmp2oCnAT4,Old Control,vapefriend_zanx,2,2,3,1,Male,No,17,1,0,0,0,0,0,1,video6_cred_zanx,cred_zanx,50,6,1.179485582,3,1,1,1
127,R_1H6MUIr2UGjsgQq,Young Control,vapefriend_aby,4,4,4,0,Female,No,14,1,0,0,0,0,0,0,video1_cred_aby,cred_aby,30,1,0.316195519,1,0,0,1
128,R_1H6MUIr2UGjsgQq,Young Control,vapefriend_anna,4,4,4,0,Female,No,14,1,0,0,0,0,0,0,video2_cred_anna,cred_anna,40,2,0.74784055,1,0,0,1
129,R_1H6MUIr2UGjsgQq,Young Control,vapefriend_cham,4,4,4,0,Female,No,14,1,0,0,0,0,0,0,video3_cred_cham,cred_cham,40,3,0.74784055,1,0,0,1
130,R_1H6MUIr2UGjsgQq,Young Control,vapefriend_fab,4,4,4,0,Female,No,14,1,0,0,0,0,0,0,video4_cred_fab,cred_fab,45,4,0.963663066,1,0,0,1
131,R_1H6MUIr2UGjsgQq,Young Control,vapefriend_mae,4,4,4,0,Female,No,14,1,0,0,0,0,0,0,video5_cred_mae,cred_mae,45,5,0.963663066,1,0,0,1
132,R_1H6MUIr2UGjsgQq,Young Control,vapefriend_zanx,4,4,4,0,Female,No,14,1,0,0,0,0,0,0,video6_cred_zanx,cred_zanx,35,6,0.532018035,1,0,0,1
133,R_1HGKnEuK8zjJ3Hs,Old Control,vapefriend_aby,3,3,4,1,Female,Yes,14,0,0,0,0,1,0,1,video1_cred_aby,cred_aby,0,1,-0.978739575,1,0,0,0
134,R_1HGKnEuK8zjJ3Hs,Old Control,vapefriend_anna,4,4,4,0,Female,Yes,14,0,0,0,0,1,0,1,video2_cred_anna,cred_anna,0,2,-0.978739575,1,0,0,0
135,R_1HGKnEuK8zjJ3Hs,Old Control,vapefriend_cham,3,3,3,1,Female,Yes,14,0,0,0,0,1,0,1,video3_cred_cham,cred_cham,43,3,0.87733406,1,0,0,1
136,R_1HGKnEuK8zjJ3Hs,Old Control,vapefriend_fab,3,4,4,1,Female,Yes,14,0,0,0,0,1,0,1,video4_cred_fab,cred_fab,0,4,-0.978739575,1,0,0,0
137,R_1HGKnEuK8zjJ3Hs,Old Control,vapefriend_mae,4,4,4,0,Female,Yes,14,0,0,0,0,1,0,1,video5_cred_mae,cred_mae,0,5,-0.978739575,1,0,0,0
138,R_1HGKnEuK8zjJ3Hs,Old Control,vapefriend_zanx,3,3,4,1,Female,Yes,14,0,0,0,0,1,0,1,video6_cred_zanx,cred_zanx,13,6,-0.417601034,1,0,0,0
