,ResponseId,Condition,influencer_video,harm_score,harm_score_factor,Condition,Sex,Ethnicity,Age,white,asian,black,multi,other,infl_expos,harmvape_pretest,video_id,influencer,credibility_median,video_number,credibility_median_rescale,sm_freq_use,sub_30dayuse,harm_pretest_binary,credibility_median_binary
120,R_16hSK87pBBzBSEN,Old Treat,harm_zanx,2,2,Old Treat,Female,Yes,15,0,0,1,0,0,0,3,video6_cred_zanx,cred_zanx,NA,6,NA,3,1,1,NA
121,R_17kuPL1ybSFRqnM,Young Control,harm_aby,1,1,Young Control,Female,No,16,1,0,0,0,0,1,1,video1_cred_aby,cred_aby,0,1,-1.114512449,1,0,0,0
122,R_17kuPL1ybSFRqnM,Young Control,harm_anna,1,1,Young Control,Female,No,16,1,0,0,0,0,1,1,video2_cred_anna,cred_anna,5,2,-0.938687017,1,0,0,0
123,R_17kuPL1ybSFRqnM,Young Control,harm_cham,1,1,Young Control,Female,No,16,1,0,0,0,0,1,1,video3_cred_cham,cred_cham,10,3,-0.762861585,1,0,0,0
124,R_17kuPL1ybSFRqnM,Young Control,harm_fab,1,1,Young Control,Female,No,16,1,0,0,0,0,1,1,video4_cred_fab,cred_fab,0,4,-1.114512449,1,0,0,0
125,R_17kuPL1ybSFRqnM,Young Control,harm_mae,1,1,Young Control,Female,No,16,1,0,0,0,0,1,1,video5_cred_mae,cred_mae,7,5,-0.868356844,1,0,0,0
126,R_17kuPL1ybSFRqnM,Young Control,harm_zanx,1,1,Young Control,Female,No,16,1,0,0,0,0,1,1,video6_cred_zanx,cred_zanx,0,6,-1.114512449,1,0,0,0
127,R_18LJyj9fFn6AJVu,Young Treat,harm_aby,2,2,Young Treat,Male,Yes,14,0,0,0,0,1,1,3,video1_cred_aby,cred_aby,28,1,-0.129890028,1,0,1,1
128,R_18LJyj9fFn6AJVu,Young Treat,harm_anna,1,1,Young Treat,Male,Yes,14,0,0,0,0,1,1,3,video2_cred_anna,cred_anna,19,2,-0.446375807,1,0,1,0
129,R_18LJyj9fFn6AJVu,Young Treat,harm_cham,2,2,Young Treat,Male,Yes,14,0,0,0,0,1,1,3,video3_cred_cham,cred_cham,15,3,-0.587036152,1,0,1,0
