,ResponseId,Condition,influencer_video,vape_cool,vape_attr,video_id,influencer,credibility_median,video_number,credibility_median_rescale,Sex,Ethnicity,Age,white,asian,black,multi,other,infl_expos,vape_appeal,vape_appeal_sum,vape_appeal_pretest_sum,vape_appeal_pretest_3cat,vape_appeal_t3,Ethnicity,Sex,sm_freq_use,sub_30dayuse,credibility_median_binary
69,R_15Hm59U14eJ4REm,Old Control,cham,0,0,video3_cred_cham,cred_cham,28,3,-0.129890028,Female,Yes,2,1,0,0,0,0,1,0,0,0,Low,Low,Yes,Female,1,0,1
70,R_15Hm59U14eJ4REm,Old Control,fab,0,0,video4_cred_fab,cred_fab,46,4,0.503081528,Female,Yes,2,1,0,0,0,0,1,0,0,0,Low,Low,Yes,Female,1,0,1
71,R_15Hm59U14eJ4REm,Old Control,mae,0,0,video5_cred_mae,cred_mae,14,5,-0.622201239,Female,Yes,2,1,0,0,0,0,1,0,0,0,Low,Low,Yes,Female,1,0,0
72,R_15Hm59U14eJ4REm,Old Control,zanx,0,0,video6_cred_zanx,cred_zanx,41,6,0.327256096,Female,Yes,2,1,0,0,0,0,1,0,0,0,Low,Low,Yes,Female,1,0,1
73,R_15hSSpnglqS2tQR,Young Treat,aby,0,0,video1_cred_aby,cred_aby,0,1,-1.114512449,Male,I prefer not to answer,4,1,0,0,0,0,1,0,0,0,Low,Low,NA,Male,3,0,0
74,R_15hSSpnglqS2tQR,Young Treat,anna,0,0,video2_cred_anna,cred_anna,0,2,-1.114512449,Male,I prefer not to answer,4,1,0,0,0,0,1,0,0,0,Low,Low,NA,Male,3,0,0
75,R_15hSSpnglqS2tQR,Young Treat,cham,0,0,video3_cred_cham,cred_cham,0,3,-1.114512449,Male,I prefer not to answer,4,1,0,0,0,0,1,0,0,0,Low,Low,NA,Male,3,0,0
76,R_15hSSpnglqS2tQR,Young Treat,fab,0,0,video4_cred_fab,cred_fab,0,4,-1.114512449,Male,I prefer not to answer,4,1,0,0,0,0,1,0,0,0,Low,Low,NA,Male,3,0,0
77,R_15hSSpnglqS2tQR,Young Treat,mae,0,0,video5_cred_mae,cred_mae,0,5,-1.114512449,Male,I prefer not to answer,4,1,0,0,0,0,1,0,0,0,Low,Low,NA,Male,3,0,0
78,R_15hSSpnglqS2tQR,Young Treat,zanx,0,0,video6_cred_zanx,cred_zanx,0,6,-1.114512449,Male,I prefer not to answer,4,1,0,0,0,0,1,0,0,0,Low,Low,NA,Male,3,0,0
79,R_15sc4l7OmrOwoAS,Old Treat,aby,7,6,video1_cred_aby,cred_aby,100,1,2.401996197,Male,Yes,4,0,0,0,0,1,1,6.5,13,7,Moderate,High,Yes,Male,1,0,1
80,R_15sc4l7OmrOwoAS,Old Treat,anna,6,7,video2_cred_anna,cred_anna,93,2,2.155840591,Male,Yes,4,0,0,0,0,1,1,6.5,13,7,Moderate,High,Yes,Male,1,0,1
81,R_15sc4l7OmrOwoAS,Old Treat,cham,5,6,video3_cred_cham,cred_cham,87,3,1.944850073,Male,Yes,4,0,0,0,0,1,1,5.5,11,7,Moderate,High,Yes,Male,1,0,1
82,R_15sc4l7OmrOwoAS,Old Treat,fab,7,7,video4_cred_fab,cred_fab,9,4,-0.798026671,Male,Yes,4,0,0,0,0,1,1,7,14,7,Moderate,High,Yes,Male,1,0,0
83,R_15sc4l7OmrOwoAS,Old Treat,mae,6,6,video5_cred_mae,cred_mae,93,5,2.155840591,Male,Yes,4,0,0,0,0,1,1,6,12,7,Moderate,High,Yes,Male,1,0,1
84,R_15sc4l7OmrOwoAS,Old Treat,zanx,7,7,video6_cred_zanx,cred_zanx,98,6,2.331666024,Male,Yes,4,0,0,0,0,1,1,7,14,7,Moderate,High,Yes,Male,1,0,1
85,R_164Jvs7pYfpjW0D,Young Control,aby,2,1,video1_cred_aby,cred_aby,8,1,-0.833191758,Male,No,3,0,1,0,0,0,0,1.5,3,3,Low,Moderate,No,Male,2,0,0
86,R_164Jvs7pYfpjW0D,Young Control,anna,0,0,video2_cred_anna,cred_anna,3,2,-1.00901719,Male,No,3,0,1,0,0,0,0,0,0,3,Low,Low,No,Male,2,0,0
87,R_164Jvs7pYfpjW0D,Young Control,cham,1,0,video3_cred_cham,cred_cham,0,3,-1.114512449,Male,No,3,0,1,0,0,0,0,0.5,1,3,Low,Moderate,No,Male,2,0,0
88,R_164Jvs7pYfpjW0D,Young Control,fab,1,1,video4_cred_fab,cred_fab,12,4,-0.692531412,Male,No,3,0,1,0,0,0,0,1,2,3,Low,Moderate,No,Male,2,0,0
89,R_164Jvs7pYfpjW0D,Young Control,mae,0,0,video5_cred_mae,cred_mae,0,5,-1.114512449,Male,No,3,0,1,0,0,0,0,0,0,3,Low,Low,No,Male,2,0,0
90,R_164Jvs7pYfpjW0D,Young Control,zanx,2,2,video6_cred_zanx,cred_zanx,12,6,-0.692531412,Male,No,3,0,1,0,0,0,0,2,4,3,Low,High,No,Male,2,0,0
91,R_168XlyYj0t89cYp,Young Treat,aby,1,1,video1_cred_aby,cred_aby,50,1,0.643741874,Female,Yes,3,0,0,0,0,1,0,1,2,11,High,Moderate,Yes,Female,1,0,1
92,R_168XlyYj0t89cYp,Young Treat,anna,1,1,video2_cred_anna,cred_anna,39,2,0.256925923,Female,Yes,3,0,0,0,0,1,0,1,2,11,High,Moderate,Yes,Female,1,0,1
93,R_168XlyYj0t89cYp,Young Treat,cham,1,2,video3_cred_cham,cred_cham,46,3,0.503081528,Female,Yes,3,0,0,0,0,1,0,1.5,3,11,High,Moderate,Yes,Female,1,0,1
94,R_168XlyYj0t89cYp,Young Treat,fab,1,1,video4_cred_fab,cred_fab,42,4,0.362421182,Female,Yes,3,0,0,0,0,1,0,1,2,11,High,Moderate,Yes,Female,1,0,1
95,R_168XlyYj0t89cYp,Young Treat,mae,1,1,video5_cred_mae,cred_mae,50,5,0.643741874,Female,Yes,3,0,0,0,0,1,0,1,2,11,High,Moderate,Yes,Female,1,0,1
96,R_168XlyYj0t89cYp,Young Treat,zanx,1,1,video6_cred_zanx,cred_zanx,38,6,0.221760836,Female,Yes,3,0,0,0,0,1,0,1,2,11,High,Moderate,Yes,Female,1,0,1
97,R_16AV4E5hNWpO2Jz,Old Treat,aby,6,6,video1_cred_aby,cred_aby,89,1,2.015180246,Male,Yes,2,0,0,1,0,0,0,6,12,12,High,High,Yes,Male,3,1,1
98,R_16AV4E5hNWpO2Jz,Old Treat,anna,6,5,video2_cred_anna,cred_anna,80,2,1.698694468,Male,Yes,2,0,0,1,0,0,0,5.5,11,12,High,High,Yes,Male,3,1,1
99,R_16AV4E5hNWpO2Jz,Old Treat,cham,6,6,video3_cred_cham,cred_cham,84,3,1.839354813,Male,Yes,2,0,0,1,0,0,0,6,12,12,High,High,Yes,Male,3,1,1
100,R_16AV4E5hNWpO2Jz,Old Treat,fab,6,6,video4_cred_fab,cred_fab,88,4,1.980015159,Male,Yes,2,0,0,1,0,0,0,6,12,12,High,High,Yes,Male,3,1,1
101,R_16AV4E5hNWpO2Jz,Old Treat,mae,6,6,video5_cred_mae,cred_mae,84,5,1.839354813,Male,Yes,2,0,0,1,0,0,0,6,12,12,High,High,Yes,Male,3,1,1
102,R_16AV4E5hNWpO2Jz,Old Treat,zanx,5,5,video6_cred_zanx,cred_zanx,90,6,2.050345332,Male,Yes,2,0,0,1,0,0,0,5,10,12,High,High,Yes,Male,3,1,1
103,R_16eTFdIjKP5gM4R,Young Control,aby,1,0,video1_cred_aby,cred_aby,10,1,-0.762861585,Female,Yes,4,0,0,0,0,1,1,0.5,1,4,Low,Moderate,Yes,Female,1,0,0
